sourceTaxonName,targetTaxonName,interactionTypeName,sourceTaxonPhylumName,targetTaxonPhylumName
Tamana bat virus,Chiroptera,hasHost,Kitrinoviricota,Chordata
Taiwan bat lyssavirus,Pipistrellus abramus,hasHost,Negarnaviricota,Chordata
Taiwan bat lyssavirus,Pipistrellus abramus,hasHost,Negarnaviricota,Chordata
Tai Forest reovirus,Chaerephon aloysiisabaudiae,hasHost,Duplornaviricota,Chordata
Tacaribe mammarenavirus,Artibeus lituratus,hasHost,Negarnaviricota,Chordata
Severe acute respiratory syndrome-related coronavirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Severe acute respiratory syndrome-related coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus ferrumequinum,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Aselliscus stoliczkanus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Aselliscus stoliczkanus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Chiroptera,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Hipposideros armiger,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus pusillus,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Hipposideros pomona,hasHost,Pisuviricota,Chordata
Bat SARS-like coronavirus,Rhinolophus,hasHost,Pisuviricota,Chordata
SARS-like coronavirus WIV16,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
SARS bat coronavirus,Rhinolophus cornutus,hasHost,Pisuviricota,Chordata
Sarawak mobatvirus,Murina aenea,hasHost,Negarnaviricota,Chordata
Rousettus bat coronavirus GCCDC1,Eonycteris spelaea,hasHost,Pisuviricota,Chordata
Rousettus aegyptiacus bat coronavirus 229E-related,Rousettus aegyptiacus,hasHost,Pisuviricota,Chordata
Rotavirus J,Miniopterus schreibersii,hasHost,Duplornaviricota,Chordata
Rotavirus A,Taphozous melanopogon,hasHost,Duplornaviricota,Chordata
Rotavirus A,Chiroptera,hasHost,Duplornaviricota,Chordata
Rotavirus A,Rhinolophus hipposideros,hasHost,Duplornaviricota,Chordata
Rotavirus A,Eidolon helvum,hasHost,Duplornaviricota,Chordata
Rotavirus A,Rousettus aegyptiacus,hasHost,Duplornaviricota,Chordata
Rotavirus A,Rhinolophus simulator,hasHost,Duplornaviricota,Chordata
Rocky Mountain Bat Coronavirus 65,Eptesicus fuscus,hasHost,Pisuviricota,Chordata
Rocky Mountain Bat Coronavirus 6,Myotis lucifugus,hasHost,Pisuviricota,Chordata
Rocky Mountain Bat Coronavirus 48,Myotis lucifugus,hasHost,Pisuviricota,Chordata
Rocky Mountain Bat Coronavirus 3,Myotis lucifugus,hasHost,Pisuviricota,Chordata
Rocky Mountain Bat Coronavirus 27,Myotis lucifugus,hasHost,Pisuviricota,Chordata
Rocky Mountain Bat Coronavirus 11,Myotis lucifugus,hasHost,Pisuviricota,Chordata
Rocky Mountain bat coronavirus 61/2007/EF,Eptesicus fuscus,hasHost,Pisuviricota,Chordata
Rocky Mountain bat coronavirus 15/2006/ML,Myotis lucifugus,hasHost,Pisuviricota,Chordata
Robina orthohantavirus,Pteropus alecto,hasHost,Negarnaviricota,Chordata
Rm-Bat-CoV 453/2007/EF,Eptesicus fuscus,hasHost,Pisuviricota,Chordata
Rm-Bat-CoV 429/2007/MV,Myotis volans,hasHost,Pisuviricota,Chordata
Rm-Bat-CoV 09-07/2009/MV,Myotis volans,hasHost,Pisuviricota,Chordata
Rio Bravo virus,Tadarida brasiliensis,hasHost,Kitrinoviricota,Chordata
Rift Valley fever virus,Micropteropus pusillus,hasHost,Negarnaviricota,Chordata
Rift Valley fever virus,Hipposideros caffer,hasHost,Negarnaviricota,Chordata
Rift Valley fever virus,Micropteropus pusillus,hasHost,Negarnaviricota,Chordata
Rift Valley fever virus,Hipposideros caffer,hasHost,Negarnaviricota,Chordata
Rift Valley fever virus,Micropteropus pusillus,hasHost,Negarnaviricota,Chordata
Tylonycteris bat coronavirus HKU33,Tylonycteris robustula,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus/Rwanda/445/2008,Rhinolophus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus/Rwanda/441/2008,Rhinolophus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU32,Rhinolophus sinicus,hasHost,Pisuviricota,Chordata
Rhinolophus bat coronavirus HKU2,Rhinolophus affinis,hasHost,Pisuviricota,Chordata
